Author(s),Central claim,DOI or URL,Gap or limitation,Journal or Proceedings,Key concepts or framework,Paper Title,Quotable moment,Relevance to argument,Synthesis paragraph,Year,Thread,Reviewers
"Kooijman, L., Happee, R., & de Winter, J.C.F.","The paper argues that when pedestrians are allowed to actually step into the road instead of merely imagining it, the presence of an eHMI on a yielding vehicle measurably speeds up their crossing, prompting them to leave the curb sooner and walk faster, with a text display outperforming front brake lights, and that a head-mounted display paired with a full-body motion suit can read a pedestrian's crossing intention directly from body motion in ways surveys and button-presses cannot.",https://doi.org/10.3390/info10120386,"The study ran with only 24 mostly young, student participants in a controlled single-pedestrian, single-crossing virtual scene with no real traffic, no bidirectional flows, and no other pedestrians, and the authors concede a scripting error forced them to drop one condition and that the motion suit added usability problems without clearly improving immersion, leaving open how these signals behave in genuinely complex, shared, community traffic.","Information, 10(12), 386","External human-machine interface (eHMI): an external signal on a vehicle, here a text display reading ""walk""/""don't walk"" or front brake lights, meant to replace the driver's cues and tell a pedestrian whether it is safe to cross. 
Objective versus subjective crossing measures: the paper's distinction between what pedestrians say (survey ratings, button presses) and what their bodies do (forward gait velocity, moment of leaving the curb, thorax angle), captured here with motion sensors. 
Forward gait velocity as a safety index: the assumption that faster forward walking signals a pedestrian's perceived safety, used as the study's main objective outcome. 
Perceptual fidelity: how closely a given method (survey, VR headset, motion suit, field test) reproduces a real crossing, which the paper treats as the key axis for choosing how to evaluate eHMIs.",How Do eHMIs Affect Pedestrians' Crossing Behavior? A Study Using a Head-Mounted Display Combined with a Motion Suit,"""Additionally, the 3D recording of pedestrians in crossing situations could be beneficial to perception and modeling research (e.g., [40,41]), where the goal is to have self-driving vehicles detecting the posture of pedestrians and infer their crossing intention."" (Discussion, future research)","This is a strong external-HMI anchor because it treats the pedestrian encounter purely as a signal-legibility and crossing-speed optimization problem, extending the field's usual survey and button methods into full-body motion capture so that crossing intention can be read off the body itself, supporting the argument's claim that AV-pedestrian interaction is framed as a communication-design problem measured in reaction time and gait rather than a question of who has standing to shape the street. Its closing suggestion that vehicles could detect pedestrians' posture to infer their intent shows the same instrument turned toward surveillance of the road user.",,2019,Engineering/Safety,"Amy, Saanvi"
"Pimenta, A.R., Kamruzzaman, M., & Currie, G.","The paper argues that autonomous vehicles will reshape cities unevenly depending on how they are owned and operated: shared autonomous vehicles tend to free up parking and support denser, more efficient city centers, while privately owned autonomous vehicles tend to encourage urban sprawl and lower-density suburban growth.",https://doi.org/10.1080/01441647.2023.2189325 ,"The review explicitly notes that no reviewed study considered whether parking land freed up by autonomous vehicles could be intentionally redirected toward community-defined uses such as affordable housing, rather than left to market-driven redevelopment; it also excludes autonomous mass transit and aerial taxis, narrowing which built-environment effects it can address.","Transport Reviews, 43(6), 1083-1117","Causal loop diagram (CLD): a visual method for mapping cause-and-effect relationships and feedback loops between variables such as parking demand, density, and accessibility. 
Shared versus private autonomous vehicles (SAV/PAV): the two dominant ownership and operating models the review compares throughout. 
Empty-cruising: an autonomous vehicle driving without passengers, either searching for free parking or returning to a base, which affects congestion and land use. 
Built environment: the physical, human-made features of a city, including parking, density, land use mix, and street design.",Long-term effects of autonomous vehicles on the built environment: a systematic scoping review towards conceptual frameworks,"""For example,SAVs may likely contribute to increasing residential and employment densities in the CBD"" (Conclusion, Pg 1107 )","As a comprehensive and recent throughput and urban-planning anchor, this review shows that even the most holistic synthesis of autonomous vehicle effects on cities still frames the built environment as something engineered and forecast from above, never as something a community actively shapes.",,2023,Engineering/Safety,"Amy, Saanvi"
"Park, J., Jang, S., & Ko, J.","The paper argues that converting a regular expressway lane into an autonomous-vehicle-exclusive lane only improves traffic efficiency once autonomous vehicles make up roughly 20 to 30 percent of all traffic; below that threshold, the exclusive lane sits underused while human-driven traffic is squeezed into fewer lanes, worsening congestion.",https://doi.org/10.3390/su16010026,"The authors acknowledge that their model assumes current travel patterns stay fixed and does not account for new trips people might make once autonomous vehicles are available, including trips by people who could not previously drive; the capacity-gain figures are also borrowed from a U.S. engineering manual that may not fully reflect Korean road conditions.","Sustainability, 16(1), 26","Market penetration rate (MPR): the percentage of vehicles on the road that are autonomous, the study's key threshold variable. 
Capacity gain: the increase in road throughput that autonomous vehicles enable through shorter following distances and faster reaction times. 
Vehicle-kilometers traveled (VKT) and total time spent (TTS): the two primary traffic-performance metrics tracked in the simulation.",Effects of Exclusive Lanes for Autonomous Vehicles on Urban Expressways under Mixed Traffic of Autonomous and Human-Driven Vehicles,"""This study suggests that the introduction of AV-exclusive lanes cannot be guaranteed to be effective at MPR levels below 20 to 30%, given the assumed capacity gains provided by HCM. (Results and Discussion section)","This is a clean, current example of throughput optimization as the field's guiding logic: the entire study is organized around the question of at what percentage of adoption a policy maximizes network efficiency, with no reference to who is traveling or for what purpose.",,2024,Engineering/Safety,"Amy, Saanvi"
"Lu, Q., Tettamanti, T., Hörcher, D., & Varga, I.","The paper argues that raising the share of autonomous vehicles lifts an urban road network's capacity in a roughly linear way, by about 16% in a simulated grid network and about 24% in a real Budapest network at full automation, because autonomous vehicles keep shorter headways and react faster, and it offers a generalized additive model for fitting the macroscopic fundamental diagram at any penetration rate.",https://doi.org/10.1080/19427867.2019.1662561,"The study models only capacity under fixed, simulated demand with no connected-vehicle communication, and says nothing about who travels, why, or whether higher throughput translates into access; the authors also note their gains fall below some prior single-intersection estimates because network-level vehicle accumulation was included, underlining that the analysis is purely a flow-optimization exercise.","Transportation Letters: The International Journal of Transportation Research, 12(8), 540-549","Macroscopic fundamental diagram (MFD): a network-level model relating traffic flow, vehicle density, and average speed, used here as the basic description of a road network's capacity. 
Market penetration rate: the share of vehicles on the network that are autonomous, stepped from 0% to 100% as the study's main independent variable. 
Headway and reaction time: the following distance and response delay between vehicles; because autonomous vehicles are modeled with shorter, faster values, they push more flow through the same road.
 Generalized additive model (GAM): a semiparametric regression the authors use to fit the speed-density relationship without assuming its exact shape, then convert it into the flow-density curve.",The impact of autonomous vehicles on urban traffic network capacity: an experimental analysis by microscopic traffic simulation,"""The paper investigates the impactsof AVs, with a special spotlight on the eﬃciency of utilizing theexisting infrastructure, namely, the capacity of the road network. (Introduction, pg 540)","This is a clean, current throughput anchor: its stated goal is the efficiency of utilizing existing infrastructure, and its entire contribution is a capacity percentage recovered from simulated flow, with humans present only as vehicle counts, supporting the argument's claim that the field measures the value of automated mobility as network throughput rather than as who is served or for what purpose. It even opens by framing new road construction as too costly and instead prizes extracting more capacity from the roads already there, never asking whom that recovered capacity is for.",,2020,Engineering/Safety,"Amy, Saanvi"
"Palatinus, Z., Volosin, M., Csabi, E., Hallgato, E., Hajnal, E., Lukovics, M., Pronay, S., Ujhazi, T., Osztobanyi, L., Szabo, B., Kralik, T., & Majo-Petri, Z.","The paper argues that riding in a genuinely self-driving vehicle produces measurably different brain and eye-movement patterns than riding with a human driver, showing less positive emotional affect on EEG measures during the autonomous condition even though overall alertness remained similarly high, suggesting people respond to autonomous vehicles with physiological caution that goes beyond what they report in surveys.",https://doi.org/10.1038/s41598-022-17049-7 ,"The authors describe the study as an exploratory pilot, and the same ride order, human-driven first, then autonomous, was used for every participant rather than being randomized, so an order effect may account for some of the reported differences, a limitation the authors note directly.","Scientific Reports, 12, 13312","Frontal alpha asymmetry: an EEG measure comparing left and right frontal brain activity, used here as an index of positive versus negative emotional orientation. 
Multifractal spectrum width: a complexity measure derived from eye-tracking data indicating how many distinct underlying processes are shaping a person's eye movements. 
UTAUT2 (Unified Theory of Acceptance and Use of Technology): the standard survey-based technology-acceptance framework the study aims to supplement with physiological rather than purely self-reported data.",Physiological measurements in social acceptance of self driving technologies,"""We found an overall narrower MF spectrum width in the Autonomous condition. Regarding EEG, frontal alpha asymmetry values were higher in the Human condition compared to the Autonomous condition, while arousal levels did not differ between the two conditions."" (Discussion)","As one of relatively few studies placing real riders in a real, moving autonomous vehicle rather than a simulator, this paper is a methodologically distinct anchor for the acceptance sub-theme, but it still frames acceptance as an individual, measurable affective state rather than something built through a familiar or trusted service relationship.",,2022,Engineering/Safety,"Amy, Saanvi"
"Zoellick, J.C., Kuhlmey, A., Schenk, L., Schindel, D., & Bluher, S.","The paper argues that while 125 real riders surveyed immediately after an actual ride in a shared electric autonomous shuttle reported high acceptance, trust, and intention to use, the researchers' own statistical tests show that the standard survey scales used across the field to measure these attitudes do not hold together as cleanly as assumed, raising doubts about what prior acceptance research has actually been measuring.",https://doi.org/10.1371/journal.pone.0215969 ,"The sample was self-selected, young, and drawn from visitors to a public science event riding a slow, twelve kilometer-per-hour shuttle on private land with a safety operator aboard, and the authors themselves caution against generalizing beyond this specific group or to sustained, repeated use over time.","PLOS ONE, 14(5), e0215969","Technology acceptance constructs: the standard set of attitude measures, including acceptance, trust, perceived safety, and intention to use, adapted from general technology-acceptance research and applied here to autonomous vehicles. 
Construct validity: whether a survey scale genuinely measures the distinct concept it claims to, tested here through factor analysis. 
Hypothetical bias: the concern that people's stated attitudes toward autonomous vehicles in an imagined scenario may not reflect how they would actually feel after real exposure.",Assessing acceptance of electric automated vehicles after exposure in a realistic traffic environment,"""Participants accepted and trusted the electric AVs, perceived them as safe, and intended to use one in the future. Participants were amused, surprised, and not afraid after the ride with an electric AV. (Summary)","This paper is a strong methodological complement to Palatinus et al., offering real riders in realistic though low-speed conditions rather than a simulator, and its qualitative finding that a human safety operator meaningfully shaped riders' perceptions is a rare moment in this literature where a rider's relational experience of the ride surfaces at all, even though the researchers treat it as a confounding variable to control for rather than something to design around.",,2019,Engineering/Safety,"Amy, Saanvi"
"Nordhoff, S., Stapel, J., van Arem, B., & Happee, R.","The paper argues that passengers' perceived safety in a driverless shuttle is assembled from concrete vehicle- and environment-level cues, low speed, smooth braking, the emergency button, operation on a controlled route, and that the successful integration of automated shuttles therefore depends on engineering these perceptions and on managing how outside pedestrians and cyclists interact with the vehicle.",https://doi.org/10.1016/j.tra.2020.05.009 ,"Passengers only imagined interacting with the shuttle as pedestrians or cyclists rather than actually doing so, the vehicle ran slowly on a controlled private campus with a hidden steward aboard, and the sample was self-selected from mobility-project and meetup participants, so the authors caution that perceived safety in faster, genuinely driverless, mixed-traffic conditions remains untested.","Transportation Research Part A: Policy and Practice, 138, 508-524","Perceived safety: a passenger's subjective feeling of safety, distinct from actual safety, decomposed here into vehicle-, individual-, and environment-related factors and treated as the central precondition for acceptance. 
Hidden safety steward: a human operator disguised as a 'minute writer' so riders experience the shuttle as genuinely driverless, keeping the study's safety net from inflating perceived safety. 
Incidental or vulnerable road users: pedestrians and cyclists who never chose to interact with the shuttle but must negotiate it anyway, whose acceptance the paper treats as a second necessary condition for deployment. 
Testing behavior: the tendency of passengers to press the emergency button and of outside road users to step in front of the shuttle to probe its limits, which the paper reads as distrust, curiosity, or a problem to be managed.",Passenger opinions of the perceived safety and interaction with automated shuttles: A test ride study with 'hidden' safety steward,"""Manufacturers, vehicle operators, and the media should educate the public that the testing of automated vehicles could jeopardize the safety and efficiency benefits of vehicle automation."" (Discussion, sec. 4.2)","This is the acceptance sub-theme's most community-adjacent anchor, real riders in a real moving vehicle, whose relational cues such as sharing the ride and trusting a responsible transport operator briefly surface, yet it still frames the whole encounter as perceived safety to be optimized for successful deployment. Its remedies for road users who negotiate with the shuttle run toward educating them, redesigning the vehicle for compliance, or sanctioning them, rather than accommodating their needs, showing exactly where the mainstream approaches a service or relational framing and then turns back.",,2020,Engineering/Safety,"Amy, Saanvi"
Levine,"Disabled transit riders in Austin and Seattle face similar first and last mile barriers despite different transit systems and geographies, shaped by intersectionality, social context, built environment quality, confidence, and relationships with public agencies. Disabled voices are systematically excluded from planning, perpetuating inequitable outcomes.",https://doi.org/10.1016/j.jpubtr.2024.100086,"The sample was recruited through advocacy networks and email, skewing toward riders already engaged with accessibility issues and excluding disabled people without internet access.","Journal of Public Transportation, 26, 100086","Mobility justice: multi-scalar framework examining how the built environment reproduces privilege and power beyond basic accessibility. First and last mile: trip segments connecting riders to fixed transit, where accessibility gaps concentrate. Intersectionality: overlapping identities shaping distinct travel burdens.","""The bus is accessible, but how do you get to the bus"": First and last mile experiences of disabled transit riders","""The bus is accessible, but how do you get to the bus?"" (p. 5).","Supports both halves of the claim. Mobility access is unevenly distributed by disability type, gender, and race even in cities with strong accessibility investment, and infrastructure built to minimum ADA standards without disabled riders' participation reproduces exclusion along the first and last mile. Participants report being seldom in the room when transportation decisions are made, and describe the active transportation engagement process itself as white and male dominated.","This paper grounds both the uneven distribution and exclusion-from-participation claims in first-person accounts, showing that even accessibility-focused cities produce disproportionate travel burdens when planners ignore first and last mile segments and exclude disabled riders from decision-making. It argues meaningful engagement, not compliance alone, is necessary for equitable mobility infrastructure.",2024,Equity,"Shashi, Aditya"
Zhang et al.,"A systematic review of 138 papers finds the elderly experience the highest inequality in public transport resource distribution among disadvantaged traveler groups. It synthesizes a four part framework, opportunity accessibility, physical accessibility, age friendly informationalization, and cost affordability, for transport inclusion policy.",https://doi.org/10.1016/j.jtte.2024.04.001,"The evaluation framework assumes public transit dependent cities and fits poorly in car dependent or rural contexts, and it pools evidence on other disadvantaged groups without a participatory method to test the framework directly.","Journal of Traffic and Transportation Engineering (English Edition), 11(2), 312-347","Transport related social exclusion: marginalization from daily activities caused by inadequate transport across accessibility, physical, information, and economic dimensions. Capability approach: evaluates inclusion by whether services convert into real capabilities. Spatial production theory: transport spaces shape perceived social inclusion.",Public transport inclusion and active aging: A systematic review on elderly mobility,"""the elderly have the highest level of inequality in PT resource distribution"" (p. 2).","Supports the unevenly distributed half directly, documenting that elderly people face the highest transport resource inequality among disadvantaged groups across three decades of research. It does not address community participation in infrastructure decisions: its own framework is top down and metric driven, built from published literature rather than elderly travelers' input, making it a thinner fit for the infrastructure without participation half of the claim.","This review documents that elderly people face the steepest transport inequality among disadvantaged groups, giving quantitative backing to the claim that mobility access has long been unevenly distributed. Its own accessibility centered framework, however, is built from literature rather than elderly voices, illustrating by contrast why participatory approaches matter for defining what inclusion requires.",2024,Equity,"Shashi, Aditya"
Pinski et al.,"California's community transportation needs assessment pilot program, intended to include historically underrepresented groups in transportation planning, largely reproduced the same representation gaps and engagement shortfalls as traditional public participation processes.",https://doi.org/10.1016/j.trip.2024.101114,"The study cannot confirm whether any assessment's recommendations changed actual transportation plans or funding, and it analyzes only California's pilot program, limiting generalizability to other participatory models.","Transportation Research Interdisciplinary Perspectives, 25, 101114","Community transportation needs assessment: a grassroots funded study meant to engage underrepresented residents in identifying transportation needs. Representation gap: participants in planning processes skew older, whiter, and more affluent than the community. Tokenism: participation that solicits input without incorporating it into decisions.",Bridging the gap: Do community needs assessments enhance public participation in transportation planning?,"""urban renewal projects of the 1950s and 1960s that displaced more than 1 million Americans, residents that were disproportionately low-income and Black"" (p. 2).","Directly supports the infrastructure without participation reproduces exclusion half of the claim. It shows that even funded, explicitly inclusive community needs assessments replicate historic representation gaps rather than closing them, and traces this pattern back to the 1950s and 1960s highway projects that displaced low income and Black residents with little say in the process.","Even when agencies fund grassroots, explicitly inclusive needs assessments, this study finds they largely reproduce the same representation gaps as traditional public meetings. It underscores that participation structures, not just their existence, determine whether infrastructure decisions genuinely include disadvantaged communities, grounding the section's exclusion claim in a contemporary case rather than only historical precedent.",2024,Equity,"Shashi, Aditya"
Agrawaal et al.,Interviews with Canadian transportation advocates identify four ways that mobility planning tools and information systems deepen the divide between planners and the public. Path dependence in transportation knowledge infrastructures is a systemic barrier to overcoming these mobility injustices.,https://doi.org/10.1145/3637373,"The sample is limited to advocacy organizations already engaged in mobility justice work in Canada, so it may not capture residents who never reach an advocacy organization at all.","Proc. ACM Hum.-Comput. Interact., 8(CSCW1), Article 96","Mobility justice: Sheller's framework analyzing interacting relations of movement, dividing populations into kinetic elite and mobility poor. Path dependence: how the historical design of planning tools locks in and perpetuates exclusion. Data infrastructure literacy: sensitivity to the social and political contexts data is embedded in.",Moving Towards Mobility Justice: Challenges and Considerations for Supporting Advocacy,"""a conversation that only some people are allowed to be in"" (p. 8).","Directly supports the infrastructure without participation reproduces exclusion half. Advocates describe how technically inaccessible tools, English only materials, and planners' hyper focus on traffic counts over lived experience shut residents out of decisions, echoing the historical divide between the kinetic elite and the mobility poor that mobility justice scholarship names.","This paper grounds the exclusion half of the claim in current advocacy work, showing that technical jargon, English only materials, and planners' narrow traffic metrics reproduce the same divide between decision makers and residents that mobility justice scholarship critiques historically. It introduces path dependence as a mechanism for why exclusionary infrastructure persists.",2024,Equity,"Shashi, Aditya"
Gomes et al.,"Three co-creation focus groups with institutional, technical, and citizen actors in a low-density Portuguese suburb produced eight collaboratively defined mobility strategies spanning pedestrian and cycling infrastructure, transit reliability, and governance. Accessibility, inclusiveness, and institutional coordination emerge as interdependent conditions for equitable mobility transitions.",https://doi.org/10.3390/urbansci10020102,"The case draws on a single suburb and a limited number of focus groups skewed toward older participants, so the strategies are preliminary and unvalidated against underrepresented groups' needs.","Urban Science, 10(2), 102","15-Minute City, Transit-Oriented Development, and Mobility as a Service: proximity based planning paradigms reinterpreted by participants as functional access goals rather than fixed density templates. Co-creation: focus group based collective strategy building across institutional, technical, and citizen stakeholders.","Co-Creating Accessibility-Centred Mobility Strategies in Low-Density Suburban Contexts: Evidence from Coimbra, Portugal","""key to rebuilding trust in public transport"" (p. 22).","Directly supports the infrastructure without participation reproduces exclusion half, showing that treating proximity-based models like the 15-Minute City and TOD as co-created rather than fixed templates surfaces needs, such as trust in transit reliability and safe pedestrian access, that top down planning alone would miss.","This case shows that participatory reinterpretation of proximity based planning models, rather than top down application, is what surfaces suburban residents' actual priorities, though the strategies here reflect mostly older adults and remain unvalidated. It offers a concrete example of co-creation as a mechanism for avoiding exclusionary infrastructure.",2026,Equity,"Shashi, Aditya"
Bailey et al.,"Surveys of transportation professionals and the public reveal an Arnstein Gap, a persistent difference between the public involvement stakeholders experience and what they want in transportation infrastructure planning. The paper proposes structured public involvement, using geovisual decision support tools, to narrow this gap without requiring full consensus.",https://doi.org/10.1080/00045600903364259,"The survey based Arnstein Gap metric captures perceived involvement levels but not whether structured public involvement deployments change actual infrastructure outcomes, and the case studies are limited to a handful of U.S. states.","Annals of the Association of American Geographers, 100(1), 57-86","Arnstein Gap: the measured difference between perceived and desired public involvement on Arnstein's ladder of citizen participation. Structured public involvement: a reflexive, nonconsensual framework using geovisual tools to elicit and respect community cultural values. Procedural justice: attaining spatial justice through fair process rather than fair distribution alone.","Toward Structured Public Involvement: Justice, Geography and Collaborative Geospatial/Geovisual Decision Support Systems","""The Arnstein Gap indicates that the public desire a TI planning and design system that is more directly responsive to public needs"" (p. 7).","Directly supports the infrastructure without participation reproduces exclusion half. The Arnstein Gap quantifies a persistent, measured shortfall in transportation infrastructure decision making that professionals do not fully recognize, and the paper argues this gap is structural to U.S. transportation planning rather than an occasional failure.","This paper offers historical and methodological grounding for why participation gaps in infrastructure planning persist, showing empirically that professionals underestimate the disconnect between desired and actual public involvement. It supports treating infrastructure without participation as a structural, measurable problem, and frames a participatory alternative that need not require full consensus to be legitimate.",2010,Equity,"Shashi, Aditya"
Soliz et al.,"Twenty interviews with disabled people in Montreal and a conceptual counter-cartography approach show that dominant definitions of active travel, limited to biking and walking on foot, exclude wheelchair, scooter, and adapted cycle users. The paper argues infrastructure should center disability justice and disabled people's leadership rather than retrofit universal design standards.",https://doi.org/10.1016/j.trip.2025.101805,"The study draws on 20 interviews in a single city, and the authors call for broader research across more disability communities to inform infrastructural design processes.","Transportation Research Interdisciplinary Perspectives, 36, 101805","Counter-cartography: a mapping method layering policy definitions against interview accounts to expose whose mobility practices get excluded. Disability justice: a framework centering disabled people's leadership, distinct from accommodation focused universal design. Crip time: reframing infrastructure to bend to disabled bodies' pace rather than the reverse.",Centering disability justice in active transportation transitions: A conceptual counter-cartography,"""sidewalks hit hard"" (p. 6).","Directly supports the infrastructure without participation reproduces exclusion half. Montreal's own policy definitions of active travel exclude many disabled people's actual mobility practices, and interviewees describe cycling infrastructure too narrow for tricycles and adapted cycles, showing how planning built without disabled people's input structurally forecloses their access.","This paper shows that official definitions of active travel, not just physical infrastructure, can foreclose disabled people's access, since Montreal's own policy language excludes many disabled mobility practices before infrastructure is even built. It reinforces that centering disabled people's expertise and leadership, not only accommodation, is necessary for genuinely inclusive infrastructure decisions.",2026,Equity,"Shashi, Aditya"
McCullough et al.,"Interviews with 28 Black and people of color transportation professionals in California distinguish performative equity work, which privileges dominant groups' comfort and produces only superficial change, from authentic equity work, which redistributes decision making power and produces measurable change for historically oppressed communities.",https://doi.org/10.1177/03611981231193409,"The study is limited to California and did not achieve representation from Indigenous or tribal transportation professionals despite specific recruitment efforts, limiting the framework's tested scope.","Transportation Research Record, 2678(5), 884-903","Performative equity work: actions or rhetoric that claim to address equity without materially changing outcomes or power. Authentic equity work: sustained redistribution of funding, time, and decision making power to affected communities. Arrested mobility: policing practices that apprehend or harm Black people simply for moving through public space.",Performative versus Authentic Equity Work: An Assessment of Current Practices in Transportation Planning,"""Many communities know the solutions to the challenges they face"" (p. 12).","Supports both halves of the claim. It documents uneven distribution of power and voice among transportation professionals of color within the field itself, and argues that infrastructure and funding decisions made without genuinely redistributing power to communities, not just consulting them, reproduce the same exclusion regardless of stated equity commitments.","This paper reframes community participation as insufficient unless paired with actual redistribution of power and resources, showing that even self identified equity conscious agencies can produce only performative change. It supports the section's exclusion claim by locating the same power imbalance inside the transportation profession itself, not only in public facing planning processes.",2024,Equity,"Shashi, Aditya"
Chen et al.,"A deep learning analysis of infrastructure expenditure and social vulnerability across 394 US municipalities finds infrastructure investment inequality increased from 2010 to 2019 in nearly every sector, and that shifting from population based to equity centered funding allocation would measurably reduce socioeconomic vulnerability.",https://doi.org/10.1016/j.cities.2025.105898,"The model treats infrastructure categories broadly without distinguishing transportation modes, relies on a black box machine learning approach whose internal relationships are hard to interpret, and by the authors' own account still needs community-driven qualitative input.","Cities, 162, 105898",Social Vulnerability Index: a CDC composite measure of socioeconomic disadvantage used to track which municipalities are underserved. Equality centered versus equity centered allocation: distributing infrastructure funds evenly per capita versus targeting funds toward the most vulnerable municipalities.,Assessing equity in infrastructure investment distribution among U.S. cities,"""fosters community engagement and ownership, leading to further improvements in the equitable decision-making process"" (p. 11).","Supports the unevenly distributed half directly, quantifying growing infrastructure investment inequality across a decade and showing which municipalities are shortchanged. It is a thinner fit for the participation half: the framework is data driven and top down, and the authors themselves flag the need to pair it with community engagement to make decisions genuinely equitable.","This paper offers strong quantitative evidence that infrastructure investment inequality has been widening and that equity centered allocation would help close it, reinforcing the section's uneven distribution claim. It is honest about its own limits, though: as a purely data driven model, it cannot substitute for the community engagement the section argues infrastructure decisions actually require.",2025,Equity,"Shashi, Aditya"
Golub et al.,"A 2005 civil rights lawsuit against the Bay Area's Metropolitan Transportation Commission reveals that race neutral regional transit funding, favoring suburban rail expansion over Oakland bus service, reproduced a racialized geography built by decades of earlier overt housing and employment discrimination.",https://doi.org/10.1080/02723638.2013.778598,"The analysis focuses on one metropolitan region and one legal case, and does not evaluate whether newer transit oriented development plans in Priority Development Areas will repeat or interrupt this pattern.",Urban Geography,"Environmental racism framework: analyzes how transportation decisions distribute benefits and burdens along racial lines through exclusion from planning, localized burdens, and unequal mobility access. White noose: the ring of suburban opportunity surrounding racially segregated urban cores. Racism without racists: discriminatory outcomes produced by facially neutral technical criteria layered onto an already segregated geography.","Race, Space, and Struggles for Mobility: Transportation Impacts on African Americans in Oakland and the East Bay","""racism without racists"" (p. 24).","Directly supports both halves of the claim. It documents historically uneven mobility access rooted in de jure discrimination, and shows that even facially race neutral, seemingly participatory regional planning processes reproduced exclusion because minority communities' participation and race equity concerns hit real limits within MTC's decision making.","This paper grounds the section's exclusion claim in a landmark case, showing that race neutral transit funding formulas, layered onto a metropolitan geography built by decades of overt discrimination, can reproduce racial exclusion without any single discriminatory actor. It cautions that formally inclusive planning processes do not guarantee equity when minority participation hits structural limits.",2013,Equity,"Shashi, Aditya"
McCullogh et al.,"A scoping review of 26 studies finds implementation science frameworks exist for active and sustainable transportation interventions, but only nine explicitly address equity, and community engagement, partnerships, and funding operate as both facilitators and barriers to equitable implementation.",https://doi.org/10.1016/j.trip.2026.102020,"Only 26 of over 8,500 screened studies met inclusion criteria, and most frameworks that do address equity were developed for Western contexts, which the review itself notes may not transfer to other institutional settings such as China.","Transportation Research Interdisciplinary Perspectives, 38, 102020","Implementation science: the study of methods and factors that determine whether evidence-based interventions get adopted in practice. Barriers and facilitators: context-specificity, community engagement and participation, partnerships and collaboration, and funding; the same factors can enable or block equitable implementation depending on how they are handled.",Implementation science frameworks for active and sustainable transportation interventions with a focus on equity: A scoping review,"""excluding some from participating bequeaths unequal powers among stakeholders"" (p. 14, McCullogh et al. quoting Al-Sharari, 2022, p. 1316).","Supports the infrastructure without participation reproduces exclusion half, showing that fair representation and participation is necessary for equitable implementation, yet the studies reviewed report groups being actively ignored or deterred by feeling they lack the expertise to engage with complex infrastructure projects, producing unequal power among stakeholders.","This review shows that even when implementation frameworks name community engagement as a success factor, marginalized groups are frequently excluded or deterred from participating, concentrating power among project proponents rather than affected communities. It supports the section's exclusion claim while cautioning that most equity-focused frameworks are Western in origin and may not travel well to other contexts.",2026,Equity,"Shashi, Aditya"
Twardzik et al.,"Transportation injustice is a product of systemic racism and ableism that compounds for people who are both Black and disabled, since public transit systems were built around an ideal rider who is economically secure, able bodied, and white. Dismantling it requires an intersectional, mobility justice approach centering the leadership of those most impacted.",https://doi.org/10.1016/j.dhjo.2025.101848,"The authors note a dearth of evidence at the intersection of race and disability specifically, since disability studies tend to exclude race and race studies tend to omit disability, leaving this population understudied.","Disability and Health Journal, 18, 101848","Transportation injustice: structural conditions that perpetuate inequities, discrimination, and exclusion based on disability, race, class, gender, and age. Intersectionality: overlapping social identities compound rather than simply add experiences of discrimination. Crip Mobility Justice: a framework prioritizing accessibility, interdependence, and abolition of policing alongside physical infrastructure.",Inclusive Mobility: Dismantling transportation injustice at the intersection of race and disability,"""The administration did not seek input from the Department of Transportation, Baltimore citizens, or community groups on this decision"" (p. 2).","Directly supports both halves of the claim. It traces mobility exclusion to slavery, redlining, and highway construction, and gives a concrete contemporary case: Maryland canceling the Black-serving Red Line to fund the whiter Purple Line without seeking input from Baltimore residents or community groups.","This paper grounds the section's claim in a concrete recent case, Maryland defunding the Black-serving Red Line for the whiter Purple Line without community input, while tracing the same exclusionary pattern back through redlining and highway construction. It argues dismantling this requires sharing decision-making power with Black and disabled communities as leaders, not only building accessible infrastructure.",2025,Equity,"Shashi, Aditya"
Johnson et al.,"A literature review of transportation equity research finds that horizontal equity, equal treatment of similar groups, and vertical equity, prioritizing disadvantaged populations, remain inconsistently defined and measured across studies, and that clearer frameworks, better data, and more inclusive decision-making are needed to close this gap.",https://doi.org/10.3390/logistics9020072,"The review draws on a single geographic context, and the authors acknowledge that transportation inequities and appropriate remedies vary substantially by density and region, limiting how directly its recommendations transfer.","Logistics, 9(2), 72","Horizontal equity: equal treatment of individuals or groups with similar needs. Vertical equity: allocating resources based on differing needs, prioritizing disadvantaged groups. Accessibility indices and affordability metrics: quantitative tools used alongside community engagement approaches to assess whether a transportation system is equitable.",Inclusive and Accessible Transportation for All: Strategies for Integrating Equity in Transportation Research,"""Inclusive decision-making processes that involve underrepresented communities will ensure that their voices are considered"" (p. 25).","A thinner fit than most sources in this section: this is a broad measurement focused literature review rather than a case study of participation or exclusion. It touches the unevenly distributed half by cataloging accessibility and affordability metrics, and gestures at the participation half only in its closing recommendation for more inclusive, community-driven decision-making.","This review is useful mainly as a map of how transportation equity gets measured, horizontal versus vertical equity, accessibility indices, affordability metrics, rather than as evidence of participation's role in preventing exclusion. It is included with that caveat: its value here is cataloging the measurement landscape the section's case studies push back against.",2025,Equity,"Shashi, Aditya"
