Thread,Reviewers,Author(s),Year,Paper Title,C1_AVs_are_infrastructure,C1_AVs_are_infrastructure_reason,C2_arrives_without_input,C2_arrives_without_input_reason,C3_efficiency_values,C3_efficiency_values_reason,C4_community_concerns_govern,C4_community_concerns_govern_reason,C5_misalignment,C5_misalignment_reason,C6_broader_pattern,C6_broader_pattern_reason,C7_mobility_as_social_service,C7_mobility_as_social_service_reason
Equity,"Shashi, Aditya",Zhang et al.,2024,Public transport inclusion and active aging: A systematic review on elderly mobility,none,Not about AVs,partial,"Own text: thinner fit, does not address community participation",direct,"Top down, metric driven inclusion framework",direct,Supports unevenly distributed half directly,direct,Metric-driven framework vs elderly travelers' own participation in defining inclusion,direct,Non-AV evidence across three decades of research,none,"Framework is accessibility/cost metric based, not relational provisioning"
Equity,"Shashi, Aditya",Pinski et al.,2024,Bridging the gap: Do community needs assessments enhance public participation in transportation planning?,none,Not about AVs,direct,Community needs assessments reproduce representation gaps,partial,"Formal participatory processes still fail, a process critique more than efficiency-values one",direct,Documents disadvantaged and hard-to-reach populations' access needs,direct,Funded inclusive processes still fail to serve those needs,direct,Traces pattern back to 1950s-60s highway displacement,partial,Tokenism critique touches ongoing relational engagement
Equity,"Shashi, Aditya",Agrawaal et al.,2024,Moving Towards Mobility Justice: Challenges and Considerations for Supporting Advocacy,none,Not about AVs,direct,Own text: directly supports reproduces exclusion half,partial,Jargon-heavy technical planning tools are technocratic/efficiency-adjacent,direct,Planners' focus on traffic counts over lived experience shows what should govern instead,direct,Jargon tools and traffic-count focus vs lived experience,direct,"Kinetic elite/mobility poor divide is a historical, broader pattern",partial,Path dependence framing is systemic but not fully relational-provisioning
Equity,"Shashi, Aditya",Gomes et al.,2026,"Co-Creating Accessibility-Centred Mobility Strategies in Low-Density Suburban Contexts: Evidence from Coimbra, Portugal",none,Not about AVs,direct,Own text: directly supports reproduces exclusion half,partial,Top-down fixed templates critiqued vs co-created ones,direct,"Citizen-defined priorities (transit reliability, safe pedestrian access) govern the outcome",direct,"Fixed templates missed what residents needed, resolved via co-creation",direct,15-Minute City/TOD/MaaS as broader non-AV paradigms,direct,"Co-creation across institutional, technical, citizen actors is close to ongoing relational provisioning"
Equity,"Shashi, Aditya",Bailey et al.,2010,"Toward Structured Public Involvement: Justice, Geography and Collaborative Geospatial/Geovisual Decision Support Systems",none,Not about AVs,direct,"Arnstein Gap is a persistent, structural shortfall",partial,"Geovisual decision support tools are procedural/technical, not explicitly efficiency-labeled",direct,Cultural values elicited via SPI are meant to govern outcomes,direct,Professional conceit vs the public's own reported experience,direct,Framed as structural to U.S. transportation planning generally,none,"Procedural justice framing, not explicitly ongoing relational provisioning"
Equity,"Shashi, Aditya",Soliz et al.,2026,Centering disability justice in active transportation transitions: A conceptual counter-cartography,none,Not about AVs,direct,Planning built without disabled people's input structurally forecloses access,partial,Official policy definitions are rigid categorical/bureaucratic logic,direct,Disabled people's leadership should center infrastructure design,direct,Formal definitions exclude actual mobility practices,direct,"Disability justice as a broader, non-AV framework",partial,"Crip time reframing is a relational, flexible-provisioning concept"
Equity,"Shashi, Aditya",McCullough et al.,2024,Performative versus Authentic Equity Work: An Assessment of Current Practices in Transportation Planning,none,Not about AVs,direct,Own text: supports both halves,partial,Performative work is surface-level process without power redistribution,direct,Documents power/voice unevenly distributed among professionals of color,direct,Performative vs authentic equity is an explicit misalignment concept,direct,"Applies across the transportation field broadly, non-AV",direct,Authentic equity as sustained relational redistribution of power closely matches Mobility as Social Service
Equity,"Shashi, Aditya",Chen et al.,2025,Assessing equity in infrastructure investment distribution among U.S. cities,none,Not about AVs,partial,"Own text: thinner fit, authors flag need for community engagement",direct,"Quantitative, top-down allocation formula",direct,Supports unevenly distributed half directly,direct,Own text: model lacks community engagement to capture residents' actual perspectives,direct,Non-AV evidence across 394 municipalities and a decade,none,No relational framing
Equity,"Shashi, Aditya",Golub et al.,2013,"Race, Space, and Struggles for Mobility: Transportation Impacts on African Americans in Oakland and the East Bay",none,Not about AVs,direct,Own text: directly supports both halves,partial,Facially neutral technical funding formula produces racialized exclusion,direct,Documents historically uneven mobility access,direct,"Technical criteria producing racialized exclusion, 'racism without racists'",direct,Pre-dates AVs entirely; strong historical broader-pattern evidence,none,No relational provisioning framing
Equity,"Shashi, Aditya",McCullogh et al.,2026,Implementation science frameworks for active and sustainable transportation interventions with a focus on equity: A scoping review,none,Not about AVs,direct,Participation necessary for equitable implementation; groups deterred or excluded,partial,Frameworks built by default for able-bodied road users,direct,Community engagement and partnerships are central facilitators/barriers,direct,Nominal engagement and marginalized-group exclusion documented,direct,"Cross-context, non-AV review evidence",none,No relational provisioning framing
Equity,"Shashi, Aditya",Twardzik et al.,2025,Inclusive Mobility: Dismantling transportation injustice at the intersection of race and disability,none,Not about AVs,direct,"Red Line cancelled without input from Baltimore residents, a concrete example",partial,'Ideal rider' assumption is a default optimization logic,direct,"Black and disabled riders' needs should govern, intersectional framework",direct,Ideal-rider design vs actual riders is an explicit misalignment,direct,"Traces to slavery, redlining, highway construction, deep historical pattern",partial,"Crip Mobility Justice includes interdependence, a relational concept"
Equity,"Shashi, Aditya",Johnson et al.,2025,Inclusive and Accessible Transportation for All: Strategies for Integrating Equity in Transportation Research,none,Not about AVs,partial,Own text: gestures at participation half only in closing recommendation,direct,Accessibility indices and affordability metrics are the primary tools reviewed,partial,Own text: a thinner fit than most sources in this section,partial,"Implied by the review's own framing, not strongly demonstrated",partial,"Broad review, general pattern but described as a thinner fit",none,No relational provisioning framing
Equity,"Shashi, Aditya",Johnson et al.,2024,Is the medium the message? Exploring the intersection of social media and collective action in the San Jose Bike Party,none,Not about AVs,none,"Own text: relevance is indirect, not an infrastructure planning process",none,"Not applicable, recreational social movement study",partial,Touches equity/access/inclusion in cycling advocacy indirectly,none,Not tested empirically per own text,none,Own text: connection not empirically tested here,none,No relational provisioning framing
Equity,"Shashi, Aditya",Karner et al.,2017,Achieving transportation equity: Meaningful public involvement to meet the needs of underserved communities,none,Not about AVs,direct,Own text: directly supports reproduces exclusion half,partial,Quantitative equity analyses and distant forecasts critiqued as technical,direct,Community-led identification of needs is central to the proposed model,direct,Standard MPO involvement rarely translates input into funded action,direct,"Civil rights/EJ mandate history, broad non-AV pattern",direct,"Three-step ongoing model: identify needs, fund, track closely matches relational provisioning"
Equity,"Shashi, Aditya",Mottee et al.,2020,Limitations of Technical Approaches to Transport Planning Practice in Two Cases: Social Issues as a Critical Component of Urban Projects,none,Not about AVs,direct,"Own text: directly supports, consultation occurring too late in project lifecycle",direct,"'Predict and provide' technical, model-driven planning explicitly critiqued",direct,Affected communities' needs should shape assessment early,direct,Technical planning treats social impacts as secondary,direct,"Two rail megaprojects, broader non-AV pattern",none,No relational provisioning framing
Equity,"Shashi, Aditya",Klaever et al.,2025,Lived expertise of the structurally disadvantaged: towards a more just participatory transport planning process,none,Not about AVs,direct,"Own text: directly supports, invited spaces actively discouraged residents",partial,Official participatory venues framed by planners on their own terms,direct,"Lived expertise vs technical planning expertise, strong community-concerns framing",direct,Repeated negative experiences including public humiliation demonstrate misalignment,direct,Direct evidence though the authors note limited generalizability,partial,"Transdisciplinary research format better reflecting lived expertise is relational, though not policy provisioning itself"
Equity,"Shashi, Aditya",Pineo et al.,2026,Mindsets and actions: Shifts in equitable and sustainable development in U.S. cities,none,Not about AVs,partial,"Own text: moderate fit, transportation is one of several domains",partial,City processes and regulations 'stacked against transformative solutions',direct,Youth-led tactical urbanism is community-led action defining need,direct,Own text: infrastructure change possible only after community-led action pushed a reluctant agency,direct,"Cross-domain (housing, parks, transportation), non-AV",partial,"Bottom-up transformation as ongoing organizing, relational but advocacy-framed"
Equity,"Shashi, Aditya",Di Ruocco,2025,Mobilising equity. Emerging evidence for integrating vulnerable communities,none,Not about AVs,partial,Own text: touches participation half more lightly,direct,ICT/MaaS solutions designed by default around urban digitally literate users,direct,Own text: supports unevenly distributed half directly,direct,"Own text: digitizes the same exclusion by assuming urban, digitally literate users",direct,"Global review evidence, non-AV specific tech-mediated mobility",none,No relational provisioning framing
Equity,"Shashi, Aditya",Jensen,2026,Mobility Injustice by Design,none,Not about AVs,direct,Design choices encode exclusion with no participation in design,partial,Design choices reflect a default material/engineering logic,direct,"Unhoused, disabled, and aging people should be centered in design",direct,City built for an able-bodied middle-class default,direct,"Broad framework beyond any single project, deeply historical",none,No relational provisioning framing
Equity,"Shashi, Aditya",van Holstein et al.,2020,Mobility justice and accessible public transport networks for people with intellectual disability,none,Not about AVs,direct,Existing participatory mechanisms systematically underrepresent people with intellectual disability,partial,"Splintered, privatized transport governance is market/efficiency-driven fragmentation",direct,People with intellectual disability's needs should govern network design,direct,Access committees exclude intellectual disability; advocate expertise goes unpaid,direct,Broader non-AV pattern of committee tokenism,partial,Performative research method aimed at prompting collaboration is a relational engagement attempt
Equity,"Shashi, Aditya",Jeghers et al.,2024,"North Florida Stakeholder Perspectives: Gaps, Barriers, and Facilitators in the Transportation System",none,Not about AVs,partial,"Own text: thinner on participation half, centers professionals not community",partial,SWOT and funding-priority framing is institutional/technical,partial,Own text: moderate fit for unevenly distributed half,partial,"Funding/priority misalignment documented via professional perceptions, not community voice directly",partial,Smart Cities pilot context has some generalizability,none,No relational provisioning framing
Equity,"Shashi, Aditya",Yin et al.,2026,Quantification of latent travel demand across age groups with a focus on older adults: a theoretical framework with empirical evidence from China,none,Not about AVs,none,"Own text: thinner fit, no infrastructure-without-participation case examined",partial,Quantitative modeling of unmet demand is a technical framing,partial,Social participation as the strongest predictor touches community concerns loosely,none,Not demonstrated,none,Own text: included only as background evidence,none,No relational provisioning framing
Equity,"Shashi, Aditya",Contreras et al.,2026,Beyond research delays: science funding disruptions limit community participation in climate and infrastructure planning,none,Not about AVs,direct,Distinct mechanism: funding cuts remove the community-knowledge pipeline from decisions,partial,Techno-rational planning explicitly contrasted with community knowledge,direct,Community-reported dangers like poor lighting should govern route-safety decisions,direct,Quantitative metrics can certify a route safe while missing community-reported dangers,direct,"Broader structural/funding pattern, non-AV",partial,Epistemic justice treats community knowledge as legitimate ongoing input
Equity,"Shashi, Aditya",Bailey et al.,2012,Towards Environmental Justice in Transportation Decision Making using Structured Public Involvement,none,Not about AVs,direct,"VDOT committee shrank from nearly 70 to about 30 representatives, held up as a model process",partial,Four process metrics are a procedural/technical measurement framework,direct,Low-income and minority stakeholders' full participation is the stated EJ goal,direct,Small-group advisory committees compromise the inclusiveness EJ mandates require,direct,"Procedural justice under-theorized broadly in transportation EJ work, historical, non-AV",none,No relational provisioning framing
Equity,"Shashi, Aditya",Chapman et al.,2024,The dignity experience of people with disability when using trains and buses in an Australian city,none,Not about AVs,direct,Own text: standards developed without embedding diverse disabled people's needs,direct,Compliance-based accessibility standards are a rule/metric-driven default,direct,"Dignity depends on infrastructure, staff, and information across the whole journey",direct,Standards met on paper while still excluding people whose needs fall outside them,direct,"Broader compliance-standards critique, non-AV, applies to ADA/DSAPT generally",partial,"Dignity across a whole journey is relational and ongoing, close to C7 but not explicitly provisioning"
Equity,"Shashi, Aditya",Bahman et al.,2026,The equity-environmental sustainability nexus in autonomous vehicles: An integrated framework for policy and planning,direct,Explicitly about AV deployment as an infrastructure/policy matter,partial,"Names community engagement as a required component, conceptually not evidenced",partial,Siloed AV research treating equity/sustainability separately is an institutional/technical silo logic,partial,"Equitable access is a stated principle, not empirically demonstrated",partial,Warns AVs could burden marginalized communities unless equity is designed in,none,"Specific to AVs, does not generalize beyond",partial,Adaptive governance hints at ongoing process but remains conceptual
Equity,"Shashi, Aditya",Nakshi et al.,2025,Travelling in the margins: Impacts of transport poverty on travel attitudes and behaviours,none,Not about AVs,partial,Names undelivered infrastructure promises as a pattern of underinvestment,partial,Delayed infrastructure investment reflects institutional/bureaucratic logic,direct,Racism and harassment shaping travel attitudes puts relational trust explicitly at the center,direct,Chronic underinvestment and distrust vs residents' needs,direct,"Broader urban transit disinvestment pattern, non-AV",partial,"Relational trust as a central foreclosed value, an ongoing distrust dynamic"
Equity,"Shashi, Aditya",Linovski et al.,2026,Transportation barriers and equity: Values and experiences of elected officials,none,Not about AVs,direct,Locates the disconnect at the level of who holds decision-making power,partial,"Technical-rational model treats politicians as external to decision-making, an adjacent institutional logic",direct,Decision-makers demographically and experientially unlike the communities decisions most affect,direct,Officials distant from the barriers under discussion,direct,"Broader pattern about who makes decisions generally, non-AV",none,No relational provisioning framing
Equity,"Shashi, Aditya",Zhang et al.,2025,Investigating unfulfilled travel needs for people with travel-limiting conditions using the 2017 National Household Travel Survey (NHTS) data,none,Not about AVs,partial,"Proactive outreach argued for, implying current lack of participation",partial,"Logit demand model is a quantitative, demand-responsive framing",direct,Hispanic PWD trusting neighbors over formal services shows relational trust as a governing factor,direct,Standard demand-responsive planning misses needs trust barriers keep people from voicing,direct,"Intersectional pattern, broader non-AV evidence",partial,Community trust over formal services is a relational-provisioning concept
Equity,"Shashi, Aditya",Wander et al.,2026,The promise of Universal Basic Mobility,none,Not about AVs,partial,"Connects to participation half via centering affected voices, conceptually",partial,"Past supply-side, one-size-fits-all policy is a uniform-efficiency default",direct,Mobility justice requires centering voices of those experiencing disparities,direct,One-size-fits-all approaches fail dispersed low-income communities,direct,"Traces historical car-access disparities, broader non-AV pattern",direct,"Mobility as capability, targeted universalism, ongoing subsidy-plus-service pairing closely matches Mobility as Social Service"
Equity,"Shashi, Aditya",Mouratidis,2026,"Urban planning, the built environment, and subjective well-being: A review of recent research advances",none,Not about AVs,partial,Own text: briefly names participatory planning as needed but underused,partial,Transit-led gentrification is a market-driven displacement mechanism,partial,Mobility-related exclusion for non-drivers is documented,partial,"Accessibility benefits lost to displacement is a form of misalignment, though economic not efficiency-values based",partial,"Broad wellbeing review, a thinner fit per own text",none,No relational provisioning framing
Equity,"Shashi, Aditya",Situ,2025,Who faces travel constraints? Analyzing household and individual travel challenges in automobile-dependent central Texas,none,Not about AVs,none,"Own text does not address participation, purely quantitative constraint modeling",partial,Car-dependent planning assumes a baseline driving ability as default,direct,Intersectional account of who bears constraints centers community needs,partial,"Car-dependent assumption compounding disadvantage is an implied, not process-based, misalignment",direct,"Broader structural pattern, non-AV",none,No relational provisioning framing
Equity,"Shashi, Aditya",Karner et al.,2020,"From transportation equity to transportation justice: Within, through, and beyond the state",none,Not about AVs,direct,Own text: directly and centrally supports,direct,Quantitative equity analyses and pro forma involvement explicitly named as insufficient technical process,direct,Residents' active participation is essential per central claim,direct,Incremental technical reforms leave underlying power positions unchanged,direct,"Broad historical framework spanning state and society-centered strategies, non-AV",direct,"Transportation justice as structural, ongoing redistribution of power and resources"
Equity,"Shashi, Aditya",Cha et al.,2020,Enhancing Equity in Public Transportation Using Geographic Information Systems and Spatial Optimization,none,Not about AVs,direct,"Own text: does not address community participation, illustrating top-down technically-defined equity",direct,"Purely technical GIS optimization, explicit",none,No described role for residents at all,direct,Equity solved by planners selecting weights with no resident role,direct,"Exemplifies broader top-down technical pattern, non-AV",none,No relational provisioning framing
Equity,"Shashi, Aditya",Pan et al.,2024,Integrating equity in transportation scenario planning: A systematic review,none,Not about AVs,direct,Pro forma public meetings; equity absent from tech-focused scenarios,direct,Agencies use pro forma meetings; tech/economy-focused scenarios lack equity,direct,Community participation as justice-building is explicitly proposed,direct,Own text: input 'collected and set aside' rather than shaping plans,direct,"Broad review across scenario planning practice, non-AV though touches emerging tech like EVs",partial,"Training communities in the planning process is ongoing capacity-building, close to relational provisioning"
Equity,"Shashi, Aditya",Vanderschuren et al.,2021,Inclusive planning: African policy inventory and South African mobility case study on the exclusion of persons with disabilities,none,Not about AVs,partial,Own text: recommends including community leaders/NGOs but did not investigate their actual role,partial,Universal design vs superficial policy address is a default design logic,direct,Disability-specific needs should shape policy,direct,Superficial policy address is a misalignment; reduced trip-making evidences the real-world cost,direct,"29-country pattern, broad non-AV, historical policy neglect",none,No relational provisioning framing
Equity,"Shashi, Aditya",Sutcliffe et al.,2021,Transit Equity in the Face of the COVID-19 Pandemic: A Study of Six Ontario Transit Authorities,none,Not about AVs,direct,Windsor mayor's unilateral shutdown without consulting transit groups or users,partial,Emergency top-down authority bypassing consultation is a speed/efficiency logic under crisis,direct,Low-income and marginalized riders disproportionately harmed by cuts,direct,Own text: officials aware of equity concerns had little practical ability to consult,direct,"Broader emergency-decision-making pattern, non-AV",none,No relational provisioning framing
Equity,"Shashi, Aditya",Grasso et al.,2020,"Bike Share Equity for Underrepresented Groups: Analyzing Barriers to System Usage in Baltimore, Maryland",none,Not about AVs,partial,"Touches participation half through a policy recommendation for community-based design input, not evidenced directly",partial,Uniform system design is a one-size-fits-all default,direct,Documents who is left out and why: safety and cargo-carrying needs,direct,Uniform design does not accommodate documented needs,direct,"Broader pattern of uniform-design mobility systems failing subgroups, non-AV",none,No relational provisioning framing
Participatory Method,Mariya,"Baumann, K., Caldwell, B., Bar, F., & Stokes, B.",2018,Community storytelling for speculative urban technologies.,partial,"Self-driving cars are one of several speculative techs discussed, not the primary infrastructure focus",partial,Co-design proposed explicitly as an alternative to having a future imposed on a community,none,Not about efficiency-driven values specifically,direct,"Residents author their own scenarios, values governing the process",none,Method paper; does not document a specific misalignment case,partial,"Infrastructures of the imagination is a general capacity-building concept, not AV-specific",partial,Long-term capacity building is an ongoing relational practice
Participatory Method,Mariya,"Van Wynsberghe, A., & Guimarães Pereira, Â.",2022,The politics and imaginary of 'autonomous vehicles': A participatory journey.,direct,About AVs' political and imaginary framing directly,direct,Citizens redefine mobility on their own terms rather than the industry's,direct,Own text: efficiency-driven industry visions of AVs don't match what communities actually value,direct,Citizens redefining mobility on their own terms centers community concerns,direct,Explicit mismatch between industry visions and community values,none,Specific to AVs,partial,Material deliberation with embodied knowledge is a relational method
Participatory Method,Mariya,"Severs, R., Wu, J., Diels, C., Harrow, D., Singleton, J., & Winsor, R.",2022,Imagining an inclusive future for shared autonomous vehicle interiors: A participatory design workshop study,partial,"AV interiors are vehicle-level, not full infrastructure framing",direct,Transport-excluded groups' needs missed by mainstream AV design,partial,Mainstream AV design as the unexamined default implies an efficiency/mainstream-optimized logic,direct,"Transport-excluded groups hold specific, identifiable design needs",direct,Mainstream AV design misses those needs,none,AV-specific,partial,Journey mapping is a relational method surfacing ongoing mobility practice
Participatory Method,Mariya,"Tan, Y., Soh, K.X., Zhang, R., Lee, J., Meng, H., Sen, B., & Lee, Y.-C.",2025,Empowering social service with AI: Insights from a participatory design study with practitioners.,none,Not about AVs or infrastructure; AI casework tool,partial,"Co-design workshops proposed as an antidote to imposed technology, same underlying pattern",none,Not about efficiency-engineering values; about professional identity and skill loss,direct,Frontline workers' relational-trust concerns surfaced via workshops,partial,Implied risk of overreliance and lost skills if not co-designed,partial,Parallel domain (social service) demonstrates the general pattern outside mobility,direct,"Own text explicitly names relational-trust and human-connection concerns, a strong direct match"
Participatory Method,Mariya,"Aranda-Muñoz, Á., Bozic Yams, N., & Carlgren, L.",2025,Co-experiential futuring: Where speculative design and arts meet futures studies,none,"Healthcare-worker training domain, not AVs",partial,Own text: proves the method works outside its original context,none,Not applicable,partial,Participants' agency over their own future is strengthened,none,Not applicable,partial,"Own text: explicit generalizability evidence across domains, non-AV",partial,Experiential futures are an ongoing relational engagement
Participatory Method,Mariya,"Liao, Q.V., & Muller, M.",2019,Enabling value sensitive AI systems through participatory design fictions,none,"AI systems generally, not infrastructure",partial,Method exists because neither current-practice study nor speculation alone surfaces values for a non-existent technology,none,Not applicable,direct,Stakeholder values are central to the method's purpose,none,"Methodological paper, not a documented misalignment case",partial,Value Sensitive Design is an established approach beyond just AVs,none,No relational provisioning framing
Participatory Method,Mariya,"Barendregt, L., Bendor, R., & van Eekelen, B.F.",2024,Public participation in futuring: A systematic literature review.,none,Not about AVs,direct,Own text: mostly includes only experts and professionals rather than affected publics,none,Not applicable,partial,Arnstein's ladder critique implies communities should hold real power,direct,"Process often not designed to genuinely empower, even when publics are included",direct,"Field-level review across participatory futuring broadly, non-AV, strong broader-pattern evidence",none,No relational provisioning framing
